grupo,n_filas,co2_real_medio,co2_pred_medio,mae,rmse,r2,error_relativo_pct
ASX 160 MPI MOTION,808,143.58168316831683,140.928955078125,6.595625065340855,7.145932069424674,0.36327772890946297,4.593639606250462
EXEO,315,140.64444444444445,135.36993408203125,6.5944797939724396,12.58993010185968,-0.2994291609627011,4.6887595311859664
C1 VTI 72 S&S 5 PUERTA,154,95.87662337662337,101.79042053222656,6.5486359038910305,8.491094564103724,0.530652267369738,6.830273817807103
ALTEA,485,130.45567010309279,126.94840240478516,6.537463732847233,11.088184710784239,0.3512890569999212,5.011253039197908
MG HS,645,99.52868217054264,92.99860382080078,6.530211527033369,8.117740099679752,0.9892221698220627,6.5611353276473965
X-MAX 300,139,74.0,80.49148559570312,6.491491633353474,6.504692942379807,0.0,8.772285991018206
KOMBI,1112,176.0638489208633,173.29266357421875,6.490946584468265,8.558523327506014,0.6939827825493692,3.686700378443844
CRUZE,450,147.28,143.7251434326172,6.484197879367405,11.160602957730777,-0.05153120157181279,4.402632997940932
CEED,2600,120.92346153846154,123.11324310302734,6.480273117652306,7.671608414350273,0.8389765104353855,5.358987441482691
NUEVO BERLINGOÁTALLA M,119,141.60504201680672,135.7921905517578,6.471293216993828,7.449171738824709,-3.2811013348830382,4.569959603716489
GLE 350 D 4MATIC,105,189.62857142857143,185.67457580566406,6.469847615559896,9.234757216316025,0.220028165480875,3.4118527428747383
LEXUS NX300H,596,129.04213087248323,126.8330307006836,6.457485902005394,10.043566894796475,0.62232225324959,5.004168683781693
N.A,163,61.52489570552148,57.498897552490234,6.4448461859767425,9.195948537936143,0.0191487313688381,10.475184251955355
B 180 CDI,483,121.4368530020704,120.58220672607422,6.435071467366031,9.229404780065616,0.6242620489072781,5.299109214610756
TOLEDO,621,111.78099838969405,108.50736999511719,6.427727740743886,7.51231098929043,-1.1529399447569477,5.750286572262811
AUDI A3,548,124.70985401459853,126.47767639160156,6.425750899488908,10.011236605248927,0.6648465779950006,5.15256067795309
LEON X-PERIENCE,152,128.90131578947367,122.49077606201172,6.410533001548366,7.5736604002593735,0.6168839775465225,4.973209902696635
DOBLO,257,140.67315175097275,138.9720916748047,6.397774009853022,8.9161174905933,-0.6748528826888212,4.547970902918781
C3 PURETECH 83 S&S FEE,392,97.77551020408163,103.98905944824219,6.3710737228393555,6.5641171980411155,-3.3709322791759337,6.516021966585858
A4 AVANT,1124,121.52491103202847,124.59297180175781,6.3660413531646185,8.332635824997993,0.6733753363026163,5.2384661705177615
NV200,103,138.18446601941747,135.06060791015625,6.3575592041015625,10.661478351468332,-3.737097479837388,4.6007770534845855
GLC 220 D 4MATIC,1078,143.73283858998144,144.41648864746094,6.340080232921027,7.453067014301318,0.698740996781109,4.411017200465244
ASTRA,2889,115.40706126687435,117.35901641845703,6.321330165896048,9.165573439120534,0.6747975618189426,5.4774206157786285
VERSO,110,138.34545454545454,137.5776824951172,6.31165077903054,8.941073194062568,0.7162484915426217,4.562239359267705
RIFTER GT BLUEHDI 130,147,142.97278911564626,138.0178680419922,6.311139217039355,7.481679246643316,0.3102701465183446,4.414224032472689
AN400,165,90.50096969696969,84.21893310546875,6.282040729869495,7.373831551639525,-4.572174156264508,6.941407093099734
GOLF PLUS,116,137.3706896551724,133.45472717285156,6.263320561113028,12.00028653332473,0.14923624246969502,4.559430091553883
NISSAN X-TRAIL,2008,142.25099601593627,138.77256774902344,6.243853607025755,7.56280769818805,0.37637782166552214,4.389321538617741
JUKE,490,135.8530612244898,133.78526306152344,6.234717980209662,8.248760249677096,0.709078470319503,4.589309894097365
TOYOTA PRIUS PLUS,741,109.22672064777328,105.67044067382812,6.2297748457565,7.534822465878452,0.4751316623751646,5.703526397946016
EXPERT FURGÓN PRO BLUE,211,150.29857819905214,149.65696716308594,6.2216370569021215,7.639097670392779,0.8103176413375404,4.1395182385972555
CIVIC 5DR,683,122.89019033674964,125.35714721679688,6.2036175930308035,8.728829213266236,0.808380330575961,5.048098286796815
PROACE CITY VERSO,420,141.34761904761905,137.42190551757812,6.181121535528273,7.266503032702171,0.6763504952582244,4.372993034602087
COMBO VAN,378,136.65343915343917,130.59078979492188,6.17019857174505,7.39847712756548,-0.6385346742166242,4.515216455560214
C4 PICASSO,421,130.95249406175773,130.37664794921875,6.137750802300605,10.311776606619453,0.7616810478076282,4.68700565520044
SWIFT,421,113.19002375296913,114.75891876220703,6.131057050618876,10.437875900918428,0.4405212225965143,5.416605498731553
TRANSIT CONNECT,1149,128.739773716275,130.1516571044922,6.097622233126037,7.998987459170442,0.6715175732580195,4.73639346808576
320D,473,119.4968287526427,118.31722259521484,6.096053577124694,8.674490847864105,0.018328232102223896,5.101435444570222
SEAT LEON SP,331,127.58308157099698,132.81222534179688,6.093964475879496,7.403180361055879,-0.6127660873328609,4.77646753851791
ESPACE,319,126.16300940438872,129.57467651367188,6.089445514738746,8.514357139746608,0.8739893060983467,4.826648907224718
MAZDA3,600,127.77,126.15099334716797,6.087960090637207,9.791266256258982,-0.22499826307660498,4.764780535835648
GLC 250 D 4MATIC,263,139.3764258555133,139.5394744873047,6.081429369096067,6.4590172411478175,0.776716908675221,4.3633127566353815
MONDEO,885,124.34237288135593,125.63077545166016,6.06390103270105,9.352762586621422,0.6674904028843492,4.876777635960878
COOPER D,279,105.12544802867383,106.33094024658203,6.059970295130138,9.536804697285296,0.5798149759394887,5.764513168569072
KUGA,4733,127.21994506655398,125.41609191894531,6.055153930361015,9.916148179541137,0.9415713818716377,4.759594831764245
V 220 D,302,172.0562913907285,174.5526123046875,6.045415714087076,8.265015406894001,0.8016827239351056,3.5136266539410266
GLC 250 4MATIC,114,164.24561403508773,168.17433166503906,6.041866235565721,8.452868870689715,0.4785641720402214,3.678555601658258
GLA 220 D 4MATIC,105,137.9047619047619,131.87217712402344,6.032584635416667,6.784147028996267,0.6357999093528055,4.374457090599102
A 180 CDI,463,115.27861771058315,112.0154037475586,6.023409264648965,9.112668554463154,0.6894734964220472,5.2250880382442215
